stratum,n_pairs,fpr_additive,fpr_multiplicative,median_omega_add_lower,p95_omega_add_lower,median_n_ab
easy,6674,0.04015582858855259,0.04944560982918789,-10.509709608510516,-0.43259469122020905,150.0
hard,9464,0.08537616229923922,0.07502113271344041,-10.866710440530927,0.743464720312517,167.0
all,16138,0.06667492873962078,0.06444416904201264,-10.585194391447939,0.435663140215199,159.0
