drug_a,drug_b,support,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower,naive_log2_oe,eras_with_signal,om025_2004-2012,om025_2013-2018,om025_2019-2026
ALPRAZOLAM,PRAVASTATIN,plausible,226,1,9.95870648902216,-2.8016700272741417,-6.5988972956354885,25.346506281504638,-4.106934876215503,-7.9041621445768495,1.3589896224266538,0,-4.864608757534848,-12.310112485041923,-13.36124140787565
LOSARTAN,VALSARTAN,unsupported,1300,1,9.967098273160946,-2.8028271427254077,-6.600054411086754,10.649460683303094,-2.8939395206039826,-6.6911667889653295,0.5368811370437991,0,-4.1951223980862204,-12.174703657963391,-13.406934728449269
AMISULPRIDE,LORAZEPAM,unsupported,307,1,10.03982587230863,-2.8128166266790995,-6.610043895040446,26.681950080316263,-4.1796145554327,-7.976841823794047,1.5405156941087472,0,-12.642062244606379,-4.391635258955615,-13.620161606038462
METHADONE,METHAMPHETAMINE,unsupported,767,1,10.077665326605963,-2.817986829046058,-6.615214097407406,17.542835581328916,-3.588391682074723,-7.38561895043607,1.4688760785732846,0,-4.583971252260578,-12.570280823700326,-13.614514356493268
MIRTAZAPINE,VALPROATE,unsupported,522,1,10.078826650144903,-2.8181452140669796,-6.615372482428326,23.753220628573658,-4.015141932243589,-7.812369200604936,1.3697823204352695,0,-11.56828152496661,-12.88222296055544,-5.8590505010351945
GEMFIBROZIL,PREDNISONE,known_pair,55,1,10.140625,-2.826548487290915,-6.623775755652262,7.320972047715711,-2.382385426666592,-6.179612695027939,1.4614620153538382,0,-5.914359901959345,-11.24848366120203,-12.177531050996105
OLANZAPINE,TRAMADOL,unsupported,546,1,10.144111979969072,-2.8270211874007445,-6.624248455762092,22.31546558492725,-3.9269776886778938,-7.724204957039241,0.32086000363040584,0,-11.70344374516225,-4.971703218607594,-13.727070889850257
IBUPROFEN,SERTRALINE,unsupported,1100,1,10.260629802235064,-2.8427281131361095,-6.639955381497456,14.002743765588686,-3.2732914628573986,-7.070518731218746,0.045941526427707435,0,-11.730490457157162,-4.644129609502409,-13.954731059174215
ALPRAZOLAM,UNSPECIFIED INGREDIENT,unsupported,1045,1,10.363837069587648,-2.8564993422027487,-6.653726610564096,16.6736424051766,-3.517161651129131,-7.314388919490478,0.8844065198797494,0,-5.810463704184812,-12.894820024834175,-11.914275635837136
BISOPROLOL,LORAZEPAM,unsupported,546,1,10.396475539304838,-2.860827165479993,-6.65805443384134,25.8378846529531,-4.134105073274496,-7.9313323416358426,1.2573494904809714,0,-11.308527625526969,-4.7309980217109375,-13.929382745590901
LORAZEPAM,LOXAPINE,unsupported,212,1,10.450397802476699,-2.8679488746991293,-6.665176143060476,32.19038287491196,-4.445831868441836,-8.243059136803183,1.534737595840957,0,-10.589219576296065,-12.598842637035032,-6.206004928442513
ALPRAZOLAM,LOXAPINE,unsupported,231,1,10.4790096040184,-2.8717135115497823,-6.668940779911129,25.002790864489835,-4.087620729330386,-7.8848479976917325,1.5069859249781266,0,-10.733353038263118,-5.422499356481653,-13.800654014585248
AMITRIPTYLINE,HALOPERIDOL,unsupported,404,1,10.502769385311723,-2.874832288424968,-6.672059556786315,23.86588023177936,-4.021827935846223,-7.81905520420757,1.4138572441546389,0,-12.29749601114435,-5.0705588868477705,-13.481587916121201
LORAZEPAM,OMEPRAZOLE,unsupported,769,1,10.518287040823775,-2.876865546768783,-6.67409281513013,18.925141929513746,-3.6948907338677937,-7.49211800222914,0.7197525540376947,0,-4.576856575419735,-12.726505283039137,-13.617632255585391
PHENYTOIN,SIMVASTATIN,plausible,102,1,10.526001869349603,-2.877875345302569,-6.675102613663916,20.79384329725573,-3.827401957553554,-7.624629225914901,1.2026686732210383,0,-5.047180155203632,-13.273435129201278,-12.385628206041494
AMIODARONE,LEVOTHYROXINE,plausible,841,1,10.569413592070116,-2.8835443907914673,-6.680771659152814,11.841641784950356,-3.0404999203759253,-6.837727188737272,0.9644488486076338,0,-13.048369596200875,-12.015690109306894,-5.822006685347658
HYDROXYZINE,LORAZEPAM,unsupported,593,1,10.665119579460923,-2.895964296806344,-6.693191565167691,23.829151121125136,-4.019651577627582,-7.816878845988929,1.4021661754095425,0,-11.930255730954325,-5.085406608264783,-13.689046972837138
METHADONE,ZOPICLONE,unsupported,482,1,10.82564852529903,-2.916559257898608,-6.713786526259955,24.08861799546597,-4.034956244630181,-7.832183512991528,1.4472035801631895,0,-11.791442611927227,-12.512700805757953,-6.061133883517385
DEXAMETHASONE,METHYLPREDNISOLONE,known_pair,3794,1,10.82720961501523,-2.91675810048011,-6.713985368841457,7.914611748946052,-2.4879342062717233,-6.28516147463307,-0.0715466193839027,0,-11.267370025520835,-4.03632552744968,-14.23345372570717
INFLIXIMAB,PREDNISONE,plausible,7608,1,10.837227223370345,-2.9180334337204363,-6.715260702081784,2.5712694190560135,-1.033872573783171,-4.831099842144518,-1.3771735552771156,0,-4.3298242480753055,-11.657405103478055,-14.064455456215493
METHOTREXATE,TRIMETHOPRIM,unsupported,2482,1,10.953748006379586,-2.9327853623938758,-6.730012630755223,2.7892755021359354,-1.1328073493248876,-4.930034617686235,-0.20359150547153532,0,-12.524788752566714,-4.736693988551027,-13.103989879683807
ATENOLOL,GEMFIBROZIL,plausible,58,1,10.96342486826564,-2.934003729210801,-6.731230997572148,21.803127157143813,-3.894211601074296,-7.691438869435643,1.5707971140795394,0,-6.064025359842693,-13.16840620350163,
AMITRIPTYLINE,AMLODIPINE,unsupported,851,1,11.0160477313706,-2.940611267831889,-6.737838536193236,20.731900150339385,-3.8231990852775994,-7.620426353638947,1.0059877095080612,0,-3.958657316588396,-13.313953080668679,-13.496543717991365
LITHIUM,ZOPICLONE,unsupported,409,1,11.027407165226927,-2.9420336413685697,-6.739260909729917,30.66579772479711,-4.376929234843118,-8.174156503204465,1.5018546423287844,0,-11.557316421626181,-4.901106560736215,-13.849360494556374
GEMCITABINE,TRABECTEDIN,unsupported,182,1,11.072281318514785,-2.947638894434796,-6.744866162796143,12.299541249177366,-3.093057697407325,-6.890284965768672,1.550586558402336,0,,-12.845685369504457,-6.19775375937761
