drug_a,drug_b,rr_a,rr_b,strength,n_ab,n_abz,omega,omega_lower,omega_add,omega_add_lower,signals_additive,signals_multiplicative,at_positive_control_strength
1 3 5 TRIMETHOXYBENZENE,ALPRAZOLAM,4.498,3.308,3.895,42,0,-1.666281,-11.658169,-1.125125,-11.117013,0,0,0
1 3 5 TRIMETHOXYBENZENE,BISOPROLOL,4.498,5.006,4.493,38,0,-1.895808,-11.887696,-1.223611,-11.215499,0,0,0
1 3 5 TRIMETHOXYBENZENE,CEFTRIAXONE,4.498,2.501,3.492,24,0,-1.025449,-11.017337,-0.673518,-10.665406,0,0,0
1 3 5 TRIMETHOXYBENZENE,CODEINE,4.498,2.003,3.171,37,0,-1.189119,-11.181007,-0.880506,-10.872393,0,0,0
1 3 5 TRIMETHOXYBENZENE,CYAMEMAZINE,4.498,20.739,6.544,37,0,-2.79846,-12.790348,-2.23441,-12.226298,0,0,1
1 3 5 TRIMETHOXYBENZENE,DESLORATADINE,4.498,7.006,4.978,25,0,-1.791931,-11.783819,-1.060156,-11.052044,0,0,0
1 3 5 TRIMETHOXYBENZENE,FUROSEMIDE,4.498,5.251,4.562,30,0,-1.742219,-11.734107,-1.059761,-11.051649,0,0,0
1 3 5 TRIMETHOXYBENZENE,HYDROCHLOROTHIAZIDE,4.498,3.187,3.842,25,0,-1.224381,-11.216269,-0.757578,-10.749465,0,0,0
1 3 5 TRIMETHOXYBENZENE,HYDROXYZINE,4.498,4.495,4.337,39,0,-1.83121,-11.823097,-1.194129,-11.186017,0,0,0
1 3 5 TRIMETHOXYBENZENE,KETOPROFEN,4.498,3.388,3.93,44,0,-1.704855,-11.696742,-1.171234,-11.163122,0,0,0
1 3 5 TRIMETHOXYBENZENE,LORAZEPAM,4.498,5.21,4.551,20,0,-1.405578,-11.397465,-0.782161,-10.774048,0,0,0
1 3 5 TRIMETHOXYBENZENE,MONTMORILLONITE,4.498,5.694,4.679,31,0,-1.656894,-11.648782,-1.122687,-11.114575,0,0,0
1 3 5 TRIMETHOXYBENZENE,NEFOPAM,4.498,4.579,4.365,73,0,-2.331278,-12.323166,-1.780994,-11.772882,0,0,0
1 3 5 TRIMETHOXYBENZENE,OMEPRAZOLE,4.498,2.41,3.438,45,5,1.974675,0.447209,2.390013,0.862548,1,1,0
1 3 5 TRIMETHOXYBENZENE,OXAZEPAM,4.498,9.713,5.449,35,0,-2.307968,-12.299856,-1.54137,-11.533258,0,0,0
1 3 5 TRIMETHOXYBENZENE,PHLOROGLUCINOL,4.498,2.894,3.702,505,5,0.045741,-1.481725,-0.382413,-1.909878,0,0,0
1 3 5 TRIMETHOXYBENZENE,PROPOFOL,4.498,16.555,6.219,34,0,-2.633931,-12.625818,-1.932602,-11.92449,0,0,0
1 3 5 TRIMETHOXYBENZENE,RACECADOTRIL,4.498,3.133,3.817,22,0,-1.043468,-11.035356,-0.680597,-10.672485,0,0,0
1 3 5 TRIMETHOXYBENZENE,SUFENTANIL,4.498,4.911,4.465,24,0,-1.49159,-11.483478,-0.874934,-10.866822,0,0,0
1 3 5 TRIMETHOXYBENZENE,SULFAMETHOXAZOLE,4.498,2.12,3.253,22,0,-0.866908,-10.858796,-0.595252,-10.58714,0,0,0
1 3 5 TRIMETHOXYBENZENE,TRAMADOL,4.498,2.907,3.709,73,0,-2.044973,-12.036861,-1.551998,-11.543886,0,0,0
1 3 5 TRIMETHOXYBENZENE,TRIMEBUTINE,4.498,2.83,3.67,30,0,-1.183491,-11.175379,-0.835546,-10.827434,0,0,0
1 3 5 TRIMETHOXYBENZENE,TRIMETHOPRIM,4.498,2.136,3.264,22,0,-0.871534,-10.863422,-0.596647,-10.588534,0,0,0
1 3 5 TRIMETHOXYBENZENE,ZOPICLONE,4.498,8.45,5.248,44,0,-2.385304,-12.377192,-1.665603,-11.657491,0,0,0
3 METHYLMETHCATHINONE,COCAINE,24.821,6.805,7.4,27,2,-0.511612,-3.100252,0.178894,-2.409746,0,0,1
3 METHYLMETHCATHINONE,DIAZEPAM,24.821,4.818,6.902,25,0,-2.682605,-12.674493,-1.984958,-11.976846,0,0,1
6 ACETYLMORPHINE,ALCOHOL,5.975,3.206,4.26,35,0,-1.517446,-11.509333,-1.126446,-11.118334,0,0,0
6 ACETYLMORPHINE,BENZOYLECGONINE,5.975,2.156,3.687,62,2,0.67344,-1.915201,0.822653,-1.765987,0,0,0
6 ACETYLMORPHINE,COCAINE,5.975,6.805,5.346,61,2,0.247495,-2.341145,0.332999,-2.255641,0,0,0
6 ACETYLMORPHINE,CODEINE,5.975,2.003,3.581,114,1,-0.519126,-4.316353,-0.515042,-4.312269,0,0,0
6 ACETYLMORPHINE,DIAMORPHINE,5.975,2.852,4.091,35,1,0.131203,-3.666024,0.492707,-3.30452,0,0,0
6 ACETYLMORPHINE,DIAZEPAM,5.975,4.818,4.847,38,0,-1.754932,-11.74682,-1.343563,-11.335451,0,0,0
6 ACETYLMORPHINE,LEVAMISOLE,5.975,6.596,5.301,22,1,0.039081,-3.758146,0.547959,-3.249268,0,0,0
6 ACETYLMORPHINE,METHADONE,5.975,3.42,4.353,28,0,-1.407823,-11.399711,-0.979204,-10.971092,0,0,0
6 ACETYLMORPHINE,NORDAZEPAM,5.975,3.433,4.358,36,0,-1.55336,-11.545248,-1.170417,-11.162305,0,0,0
6 ACETYLMORPHINE,NOSCAPINE,5.975,8.963,5.743,28,2,0.524615,-2.064025,0.93639,-1.65225,0,0,0
6 ACETYLMORPHINE,OXAZEPAM,5.975,9.713,5.859,29,1,-0.301593,-4.09882,0.120203,-3.677024,0,0,0
6 ACETYLMORPHINE,PREGABALIN,5.975,2.112,3.657,24,0,-1.051499,-11.043387,-0.76793,-10.759818,0,0,0
ABACAVIR,ACYCLOVIR,2.077,2.061,2.097,93,0,-1.392607,-11.384494,-1.141185,-11.133073,0,0,0
ABACAVIR,ALCOHOL,2.077,3.206,2.735,28,0,-0.821009,-10.812897,-0.580596,-10.572484,0,0,0
ABACAVIR,ALFACALCIDOL,2.077,4.25,3.142,40,0,-1.253291,-11.245179,-0.911027,-10.902915,0,0,0
ABACAVIR,ALLOPURINOL,2.077,6.027,3.646,30,2,0.983324,-1.605316,1.410753,-1.177888,0,0,0
ABACAVIR,ALPRAZOLAM,2.077,3.308,2.78,20,0,-0.648571,-10.640458,-0.446095,-10.437983,0,0,0
ABACAVIR,AMIODARONE,2.077,5.862,3.606,24,0,-1.135286,-11.127174,-0.755443,-10.747331,0,0,0
ABACAVIR,AMITRIPTYLINE,2.077,3.372,2.808,22,0,-0.707666,-10.699554,-0.48995,-10.481838,0,0,0
ABACAVIR,AMLODIPINE,2.077,3.894,3.015,78,0,-1.845435,-11.837323,-1.379577,-11.371465,0,0,0
ABACAVIR,ATAZANAVIR,2.077,3.331,2.79,1994,1,-3.817514,-7.614742,-3.636665,-7.433892,0,0,0
ABACAVIR,ATORVASTATIN,2.077,23.364,5.6,41,4,-0.076678,-1.813436,0.807948,-0.928809,0,0,0
ABACAVIR,AZITHROMYCIN,2.077,3.583,2.895,118,0,-2.187787,-12.179675,-1.710079,-11.701966,0,0,0
ABACAVIR,CHOLECALCIFEROL,2.077,2.942,2.611,63,0,-1.361053,-11.35294,-1.032962,-11.024849,0,0,0
ABACAVIR,CITALOPRAM,2.077,3.262,2.76,37,0,-1.021896,-11.013784,-0.734012,-10.7259,0,0,0
ABACAVIR,CLARITHROMYCIN,2.077,10.043,4.382,71,0,-2.77662,-12.768508,-2.091692,-12.083579,0,0,0
ABACAVIR,CLONAZEPAM,2.077,3.893,3.015,35,0,-1.113307,-11.105195,-0.781321,-10.773209,0,0,0
ABACAVIR,COBICISTAT,2.077,2.791,2.535,411,1,-1.768787,-5.566014,-1.33516,-5.132387,0,0,0
ABACAVIR,CODEINE,2.077,2.003,2.056,24,0,-0.49765,-10.489538,-0.384459,-10.376346,0,0,0
ABACAVIR,CYCLOSPORINE,2.077,3.505,2.864,39,2,1.201368,-1.387272,1.524216,-1.064425,0,0,0
ABACAVIR,DARUNAVIR,2.077,3.692,2.938,1003,4,-1.518151,-3.254908,-1.205984,-2.942742,0,0,0
ABACAVIR,DARUNAVIR ETHANOLATE,2.077,2.963,2.621,1043,2,-2.173785,-4.762426,-1.880551,-4.469191,0,0,0
ABACAVIR,DELAVIRDINE,2.077,2.933,2.607,84,0,-1.24093,-11.232818,-1.258136,-11.250024,0,0,0
ABACAVIR,DIAZEPAM,2.077,4.818,3.323,29,0,-1.132473,-11.124361,-0.77092,-10.762808,0,0,0
ABACAVIR,DIDANOSINE,2.077,2.009,2.061,1048,6,-0.222546,-1.598535,-0.14385,-1.519839,0,0,0
ABACAVIR,ELVITEGRAVIR,2.077,2.617,2.442,178,1,-0.700028,-4.497255,-0.309091,-4.106319,0,0,0
ABACAVIR,ENFUVIRTIDE,2.077,3.536,2.876,217,7,1.147086,-0.113149,1.546156,0.28592,1,0,0
ABACAVIR,ENTECAVIR,2.077,3.866,3.005,27,0,-0.913685,-10.905573,-0.633644,-10.625532,0,0,0
ABACAVIR,ESCITALOPRAM,2.077,4.024,3.063,26,0,-0.921022,-10.91291,-0.630396,-10.622284,0,0,0
ABACAVIR,ETRAVIRINE,2.077,5.357,3.476,509,2,-1.948293,-4.536933,-1.539275,-4.127915,0,0,0
ABACAVIR,EZETIMIBE,2.077,25.66,5.736,28,0,-2.77153,-12.763418,-2.033337,-12.025224,0,0,0
ABACAVIR,FENOFIBRATE,2.077,26.664,5.791,49,1,-1.885642,-5.68287,-1.141186,-4.938413,0,0,0
ABACAVIR,FERROUS SULFATE,2.077,2.319,2.268,42,0,-0.865121,-10.857009,-0.668412,-10.660299,0,0,0
ABACAVIR,FLUCONAZOLE,2.077,6.518,3.759,104,1,-1.132764,-4.929991,-0.507124,-4.304351,0,0,0
ABACAVIR,FOSAMPRENAVIR,2.077,5.182,3.428,455,4,-0.776038,-2.512796,-0.504441,-2.241198,0,0,0
ABACAVIR,FUROSEMIDE,2.077,5.251,3.447,38,0,-1.434468,-11.426355,-0.995348,-10.987236,0,0,0
ABACAVIR,HYDROCHLOROTHIAZIDE,2.077,3.187,2.727,50,0,-1.241223,-11.233111,-0.911478,-10.903366,0,0,0
ABACAVIR,INDINAVIR,2.077,2.35,2.287,437,0,-2.921117,-12.913005,-2.845342,-12.83723,0,0,0
ABACAVIR,ISONIAZID,2.077,4.051,3.072,115,0,-2.282832,-12.274719,-1.78099,-11.772878,0,0,0
ABACAVIR,LERCANIDIPINE,2.077,7.594,3.979,22,4,1.908133,0.171375,2.331362,0.594605,1,1,0
ABACAVIR,LEVETIRACETAM,2.077,8.338,4.114,35,0,-1.806106,-11.797994,-1.23973,-11.231618,0,0,0
ABACAVIR,LEVOFLOXACIN,2.077,3.014,2.646,27,0,-0.762979,-10.754867,-0.542396,-10.534283,0,0,0
ABACAVIR,LINEZOLID,2.077,2.432,2.336,24,0,-0.584058,-10.575946,-0.43078,-10.422668,0,0,0
ABACAVIR,LISINOPRIL,2.077,2.046,2.087,22,1,1.113981,-2.683247,1.224501,-2.572727,0,0,0
ABACAVIR,LOPINAVIR,2.077,3.435,2.835,2041,13,-0.754664,-1.644288,-0.532467,-1.422091,0,0,0
ABACAVIR,LORAZEPAM,2.077,5.21,3.436,20,0,-0.917827,-10.909715,-0.603667,-10.595554,0,0,0
ABACAVIR,MAGNESIUM,2.077,3.415,2.826,32,0,-0.941183,-10.933071,-0.672586,-10.664474,0,0,0
ABACAVIR,MARAVIROC,2.077,4.268,3.148,187,0,-2.813187,-12.805074,-2.358849,-12.350737,0,0,0
ABACAVIR,METFORMIN,2.077,3.129,2.7,94,0,-1.816557,-11.808445,-1.397034,-11.388922,0,0,0
ABACAVIR,METHADONE,2.077,3.42,2.828,43,0,-1.171874,-11.163762,-0.8472,-10.839088,0,0,0
ABACAVIR,METHAMPHETAMINE,2.077,3.939,3.032,25,0,-0.876858,-10.868746,-0.602315,-10.594203,0,0,0
ABACAVIR,METHOCARBAMOL,2.077,2.141,2.152,20,0,-0.447375,-10.439263,-0.340161,-10.332049,0,0,0
ABACAVIR,MIRTAZAPINE,2.077,6.09,3.661,24,4,2.004375,0.267618,2.395288,0.65853,1,1,0
ABACAVIR,NIFEDIPINE,2.077,3.343,2.795,41,0,-1.112723,-11.104611,-0.80636,-10.798248,0,0,0
ABACAVIR,OLANZAPINE,2.077,7.085,3.879,35,1,-0.057408,-3.854635,0.460386,-3.336841,0,0,0
ABACAVIR,OMEPRAZOLE,2.077,2.41,2.323,81,0,-1.417498,-11.409386,-1.115651,-11.107539,0,0,0
ABACAVIR,PRAVASTATIN,2.077,19.02,5.304,29,4,0.716022,-1.020736,1.400905,-0.335853,0,0,0
ABACAVIR,PYRIDOXINE,2.077,2.3,2.256,30,0,-0.664935,-10.656823,-0.504393,-10.496281,0,0,0
ABACAVIR,QUETIAPINE,2.077,5.557,3.529,63,9,2.245957,1.152891,2.800604,1.707538,1,1,0
ABACAVIR,RALTEGRAVIR,2.077,4.145,3.106,1643,11,-0.917923,-1.89446,-0.664272,-1.64081,0,0,0
ABACAVIR,RAMIPRIL,2.077,4.296,3.157,44,0,-1.381949,-11.373837,-0.983218,-10.975106,0,0,0
ABACAVIR,RIFAMPIN,2.077,2.819,2.55,127,0,-2.003188,-11.995076,-1.606259,-11.598146,0,0,0
ABACAVIR,RISPERIDONE,2.077,4.536,3.236,25,0,-0.984212,-10.9761,-0.659783,-10.65167,0,0,0
ABACAVIR,ROSUVASTATIN,2.077,28.71,5.898,41,1,-1.849058,-5.646286,-1.011107,-4.808334,0,0,0
ABACAVIR,SIMVASTATIN,2.077,48.584,6.657,20,3,-0.385402,-2.435845,0.455672,-1.594771,0,0,1
ABACAVIR,SODIUM BICARBONATE,2.077,3.91,3.021,20,0,-0.735693,-10.727581,-0.497854,-10.489742,0,0,0
ABACAVIR,SPIRONOLACTONE,2.077,4.424,3.2,27,0,-1.011954,-11.003842,-0.690385,-10.682273,0,0,0
ABACAVIR,SULFAMETHOXAZOLE,2.077,2.12,2.138,544,3,-0.58034,-2.630784,-0.225727,-2.27617,0,0,0
ABACAVIR,TRAMADOL,2.077,2.907,2.594,24,7,3.228515,1.968279,3.426525,2.16629,1,1,0
ABACAVIR,TRIMETHOPRIM,2.077,2.136,2.149,545,3,-0.592959,-2.643403,-0.234408,-2.284851,0,0,0
ABACAVIR,UNSPECIFIED INGREDIENT,2.077,2.492,2.372,61,2,1.121574,-1.467066,1.39625,-1.19239,0,0,0
ABACAVIR,VALPROATE,2.077,4.255,3.143,20,0,-0.786508,-10.778396,-0.526683,-10.51857,0,0,0
ABACAVIR,VALPROIC ACID,2.077,4.357,3.177,27,0,-1.001166,-10.993054,-0.683647,-10.675535,0,0,0
ABACAVIR,VENLAFAXINE,2.077,4.117,3.096,38,0,-1.225427,-11.217315,-0.860345,-10.852233,0,0,0
ABACAVIR,VORICONAZOLE,2.077,4.655,3.273,22,0,-0.90349,-10.895378,-0.605031,-10.596919,0,0,0
ABACAVIR,ZOLPIDEM,2.077,4.117,3.096,45,0,-1.364765,-11.356653,-0.975008,-10.966896,0,0,0
ABACAVIR,ZOPICLONE,2.077,8.45,4.133,31,0,-1.674358,-11.666245,-1.150817,-11.142705,0,0,0
ABIRATERONE,ALFUZOSIN,4.4,4.379,4.268,20,0,-1.343753,-11.335641,-0.716204,-10.708091,0,0,0
ABIRATERONE,AMIODARONE,4.4,5.862,4.689,41,3,0.416006,-1.634437,1.446064,-0.60438,0,0,0
ABIRATERONE,AMLODIPINE,4.4,3.894,4.098,82,5,0.704173,-0.823293,1.664,0.136534,1,0,0
ABIRATERONE,ATORVASTATIN,4.4,23.364,6.684,65,1,-3.175564,-6.972791,-1.448642,-5.245869,0,0,1
ABIRATERONE,BISOPROLOL,4.4,5.006,4.461,40,0,-2.187359,-12.179247,-1.256579,-11.248467,0,0,0
ABIRATERONE,CHOLECALCIFEROL,4.4,2.942,3.694,29,0,-1.338142,-11.330029,-0.815547,-10.807435,0,0,0
ABIRATERONE,CLOPIDOGREL BISULFATE,4.4,2.567,3.497,33,0,-1.342373,-11.334261,-0.858876,-10.850764,0,0,0
ABIRATERONE,DAROLUTAMIDE,4.4,2.435,3.421,53,0,-1.693366,-11.685254,-1.187594,-11.179482,0,0,0
ABIRATERONE,DEGARELIX,4.4,2.035,3.162,295,10,1.072317,0.042174,1.461653,0.43151,1,1,0
ABIRATERONE,ENALAPRIL,4.4,4.538,4.32,21,0,-1.429091,-11.420979,-0.756024,-10.747912,0,0,0
ABIRATERONE,FUROSEMIDE,4.4,5.251,4.53,80,0,-3.079893,-13.071781,-1.948463,-11.940351,0,0,0
ABIRATERONE,GALLIUM GA 68 GOZETOTIDE,4.4,2.652,3.544,57,0,-1.482916,-11.474804,-1.278208,-11.270095,0,0,0
ABIRATERONE,HYDROCHLOROTHIAZIDE,4.4,3.187,3.81,38,0,-1.674022,-11.665909,-1.024534,-11.016422,0,0,0
ABIRATERONE,INDAPAMIDE,4.4,8.188,5.171,25,8,1.910895,0.742618,2.951891,1.783613,1,1,0
ABIRATERONE,KETOCONAZOLE,4.4,5.121,4.494,21,0,-1.531981,-11.523869,-0.798575,-10.790463,0,0,0
ABIRATERONE,LISINOPRIL,4.4,2.046,3.17,31,0,-1.10537,-11.097258,-0.763431,-10.755318,0,0,0
ABIRATERONE,LOSARTAN,4.4,3.581,3.978,20,1,0.391318,-3.405909,0.927863,-2.869365,0,0,0
ABIRATERONE,METFORMIN,4.4,3.129,3.783,64,8,1.871874,0.703596,2.640373,1.472095,1,1,0
ABIRATERONE,OMEPRAZOLE,4.4,2.41,3.406,49,0,-1.653839,-11.645726,-1.121859,-11.113747,0,0,0
ABIRATERONE,PREGABALIN,4.4,2.112,3.216,29,0,-1.083212,-11.0751,-0.731543,-10.723431,0,0,0
ABIRATERONE,RAMIPRIL,4.4,4.296,4.24,25,0,-1.547186,-11.539074,-0.843997,-10.835884,0,0,0
ABIRATERONE,ROSUVASTATIN,4.4,28.71,6.981,283,234,2.011116,1.820276,3.60483,3.41399,1,1,1
ABIRATERONE,SIMVASTATIN,4.4,48.584,7.74,67,20,-0.22146,-0.922829,1.413426,0.712057,1,0,1
ABIRATERONE,SPIRONOLACTONE,4.4,4.424,4.283,67,0,-2.642834,-12.634721,-1.662687,-11.654575,0,0,0
ABIRATERONE,UNSPECIFIED INGREDIENT,4.4,2.492,3.455,150,2,-0.620251,-3.208891,0.104099,-2.484542,0,0,0
ABIRATERONE,VENLAFAXINE,4.4,4.117,4.179,26,0,-1.550057,-11.541945,-0.85402,-10.845908,0,0,0
ACARBOSE,ALLOPURINOL,3.029,6.027,4.19,29,0,-1.603178,-11.595066,-0.974754,-10.966642,0,0,0
ACARBOSE,AMIODARONE,3.029,5.862,4.15,21,0,-1.301357,-11.293245,-0.752528,-10.744415,0,0,0
ACARBOSE,AMLODIPINE,3.029,3.894,3.56,35,1,0.182373,-3.614855,0.692381,-3.104846,0,0,0
ACARBOSE,ATENOLOL,3.029,3.25,3.299,27,0,-1.044738,-11.036625,-0.668094,-10.659982,0,0,0
ACARBOSE,ATORVASTATIN,3.029,23.364,6.145,117,2,-1.912128,-4.500768,-1.408877,-3.997518,0,0,0
ACARBOSE,BISOPROLOL,3.029,5.006,3.922,24,0,-1.283399,-11.275287,-0.763502,-10.75539,0,0,0
ACARBOSE,CLOPIDOGREL BISULFATE,3.029,2.567,2.959,39,0,-1.151228,-11.143115,-0.799596,-10.791484,0,0,0
ACARBOSE,DAPAGLIFLOZIN,3.029,2.414,2.87,109,3,0.780853,-1.26959,1.221987,-0.828456,0,0,0
ACARBOSE,EZETIMIBE,3.029,25.66,6.28,35,0,-3.200234,-13.192121,-2.323245,-12.315133,0,0,0
ACARBOSE,FENOFIBRATE,3.029,26.664,6.335,26,0,-2.913602,-12.90549,-2.029509,-12.021397,0,0,0
ACARBOSE,FLUINDIONE,3.029,4.551,3.785,24,0,-1.19881,-11.190698,-0.724651,-10.716539,0,0,0
ACARBOSE,FUROSEMIDE,3.029,5.251,3.991,127,0,-2.976597,-12.968484,-2.269088,-12.260976,0,0,0
ACARBOSE,GLICLAZIDE,3.029,4.836,3.872,177,0,-3.193591,-13.185479,-2.589918,-12.581806,0,0,0
ACARBOSE,GLIMEPIRIDE,3.029,2.803,3.086,211,1,-1.273407,-5.070634,-0.797138,-4.594365,0,0,0
ACARBOSE,GLYBURIDE,3.029,3.454,3.387,76,0,-1.991066,-11.982954,-1.44458,-11.436468,0,0,0
ACARBOSE,HYDROCHLOROTHIAZIDE,3.029,3.187,3.271,80,0,-1.993314,-11.985202,-1.445866,-11.437754,0,0,0
ACARBOSE,INDAPAMIDE,3.029,8.188,4.632,29,0,-1.876704,-11.868591,-1.153348,-11.145236,0,0,0
ACARBOSE,INSULIN NOS,3.029,5.669,4.102,26,0,-1.446612,-11.4385,-0.869522,-10.86141,0,0,0
ACARBOSE,IRBESARTAN,3.029,4.805,3.863,25,0,-1.280908,-11.272796,-0.770547,-10.762434,0,0,0
ACARBOSE,LISINOPRIL,3.029,2.046,2.631,27,0,-0.750299,-10.742186,-0.540582,-10.53247,0,0,0
ACARBOSE,LOSARTAN,3.029,3.581,3.439,25,0,-1.059828,-11.051715,-0.659474,-10.651362,0,0,0
ACARBOSE,METFORMIN,3.029,3.129,3.244,742,0,-4.248947,-14.240835,-4.071582,-14.06347,0,0,0
ACARBOSE,NIFEDIPINE,3.029,3.343,3.34,31,0,-1.167352,-11.159239,-0.755409,-10.747297,0,0,0
ACARBOSE,PERINDOPRIL,3.029,5.281,4.0,44,0,-1.870748,-11.862636,-1.219735,-11.211623,0,0,0
ACARBOSE,PIOGLITAZONE,3.029,2.049,2.633,63,0,-1.356549,-11.348437,-1.043635,-11.035523,0,0,0
ACARBOSE,PRAVASTATIN,3.029,19.02,5.848,26,0,-2.589888,-12.581776,-1.705481,-11.697369,0,0,0
ACARBOSE,RAMIPRIL,3.029,4.296,3.702,62,0,-2.021757,-12.013645,-1.389785,-11.381673,0,0,0
ACARBOSE,REPAGLINIDE,3.029,5.844,4.146,132,0,-3.058388,-13.050276,-2.404339,-12.396227,0,0,0
ACARBOSE,RISPERIDONE,3.029,4.536,3.78,29,0,-1.371445,-11.363333,-0.837298,-10.829186,0,0,0
ACARBOSE,ROSUVASTATIN,3.029,28.71,6.442,51,1,-2.122174,-5.919402,-1.317655,-5.114882,0,0,1
ACARBOSE,SERTRALINE,3.029,3.896,3.561,33,0,-1.35005,-11.341938,-0.854322,-10.84621,0,0,0
ACARBOSE,SIMVASTATIN,3.029,48.584,7.201,78,2,-2.085303,-4.673943,-1.791872,-4.380512,0,0,1
ACARBOSE,SITAGLIPTIN,3.029,3.173,3.265,179,1,-1.248123,-5.04535,-0.692272,-4.489499,0,0,0
ACARBOSE,SPIRONOLACTONE,3.029,4.424,3.744,35,0,-1.501873,-11.493761,-0.951021,-10.942909,0,0,0
ACARBOSE,VERAPAMIL,3.029,5.695,4.108,21,0,-1.273248,-11.265136,-0.740066,-10.731954,0,0,0
ACARBOSE,VILDAGLIPTIN,3.029,3.993,3.596,45,0,-1.62596,-11.617848,-1.083845,-11.075733,0,0,0
ACEBUTOLOL,ALLOPURINOL,2.563,6.027,3.949,43,0,-1.717433,-11.709321,-1.231809,-11.223697,0,0,0
ACEBUTOLOL,ALPRAZOLAM,2.563,3.308,3.084,41,2,1.104545,-1.484096,1.453839,-1.134802,0,0,0
ACEBUTOLOL,AMIODARONE,2.563,5.862,3.909,86,2,0.031268,-2.557372,0.458475,-2.130166,0,0,0
ACEBUTOLOL,AMITRIPTYLINE,2.563,3.372,3.111,48,0,-1.350115,-11.342003,-0.984643,-10.976531,0,0,0
ACEBUTOLOL,AMLODIPINE,2.563,3.894,3.319,213,0,-2.747444,-12.739332,-2.536729,-12.528617,0,0,0
ACEBUTOLOL,ASPIRIN DL LYSINE,2.563,4.668,3.581,135,0,-2.48361,-12.475498,-2.162151,-12.154039,0,0,0
ACEBUTOLOL,ATENOLOL,2.563,3.25,3.059,31,0,-0.999389,-10.991277,-0.692967,-10.684855,0,0,0
ACEBUTOLOL,ATORVASTATIN,2.563,23.364,5.904,151,1,-1.834592,-5.63182,-2.464114,-6.261341,0,0,0
ACEBUTOLOL,BROMAZEPAM,2.563,12.327,4.982,37,0,-2.161774,-12.153662,-1.643278,-11.635166,0,0,0
ACEBUTOLOL,CANDESARTAN CILEXETIL,2.563,7.167,4.199,41,0,-1.814734,-11.806622,-1.30981,-11.301698,0,0,0
ACEBUTOLOL,CARBAMAZEPINE,2.563,3.174,3.024,43,0,-1.220938,-11.212826,-0.880986,-10.872874,0,0,0
ACEBUTOLOL,CLONAZEPAM,2.563,3.893,3.319,26,0,-1.00236,-10.994248,-0.665546,-10.657434,0,0,0
ACEBUTOLOL,CLONIDINE,2.563,2.32,2.572,35,0,-0.865412,-10.8573,-0.643078,-10.634966,0,0,0
ACEBUTOLOL,CLOPIDOGREL BISULFATE,2.563,2.567,2.718,98,3,1.06543,-0.985014,1.389141,-0.661303,0,0,0
ACEBUTOLOL,CYAMEMAZINE,2.563,20.739,5.732,20,0,-2.0622,-12.054087,-1.507497,-11.499384,0,0,0
ACEBUTOLOL,CYCLOBENZAPRINE,2.563,3.195,3.034,39,0,-1.148025,-11.139912,-0.821184,-10.813072,0,0,0
ACEBUTOLOL,DILTIAZEM,2.563,5.624,3.849,63,0,-1.987143,-11.979031,-1.52156,-11.513448,0,0,0
ACEBUTOLOL,ENALAPRIL,2.563,4.538,3.54,25,0,-1.073375,-11.065263,-0.705158,-10.697046,0,0,0
ACEBUTOLOL,ESCITALOPRAM,2.563,4.024,3.367,20,0,-0.853177,-10.845065,-0.547688,-10.539575,0,0,0
ACEBUTOLOL,EZETIMIBE,2.563,25.66,6.039,46,0,-2.868001,-12.859889,-2.626362,-12.61825,0,0,0
ACEBUTOLOL,FENOFIBRATE,2.563,26.664,6.095,50,0,-2.930224,-12.922111,-2.772313,-12.764201,0,0,0
ACEBUTOLOL,FLUINDIONE,2.563,4.551,3.544,21,0,-0.953599,-10.945487,-0.614049,-10.605937,0,0,0
ACEBUTOLOL,FLUOXETINE,2.563,4.532,3.538,21,2,1.363359,-1.225282,1.709417,-0.879223,0,0,0
ACEBUTOLOL,FUROSEMIDE,2.563,5.251,3.75,115,1,-0.869108,-4.666336,-0.498435,-4.295662,0,0,0
ACEBUTOLOL,GLICLAZIDE,2.563,4.836,3.632,29,0,-1.222547,-11.214435,-0.821152,-10.813039,0,0,0
ACEBUTOLOL,HYDROCHLOROTHIAZIDE,2.563,3.187,3.03,108,0,-2.007282,-11.99917,-1.641563,-11.633451,0,0,0
ACEBUTOLOL,HYDROXYZINE,2.563,4.495,3.526,25,0,-1.067557,-11.059445,-0.701135,-10.693023,0,0,0
ACEBUTOLOL,INDAPAMIDE,2.563,8.188,4.391,47,0,-2.035101,-12.026989,-1.532968,-11.524856,0,0,0
ACEBUTOLOL,IRBESARTAN,2.563,4.805,3.622,68,0,-1.92493,-11.916818,-1.479906,-11.471794,0,0,0
ACEBUTOLOL,LERCANIDIPINE,2.563,7.594,4.283,43,0,-1.894274,-11.886162,-1.393503,-11.385391,0,0,0
ACEBUTOLOL,LEVETIRACETAM,2.563,8.338,4.418,27,0,-1.606056,-11.597944,-1.073558,-11.065446,0,0,0
ACEBUTOLOL,LORAZEPAM,2.563,5.21,3.739,28,0,-1.25955,-11.251438,-0.834871,-10.826759,0,0,0
ACEBUTOLOL,LOSARTAN,2.563,3.581,3.198,22,0,-0.840898,-10.832785,-0.553511,-10.545399,0,0,0
ACEBUTOLOL,MEPROBAMATE,2.563,5.879,3.913,20,0,-1.080584,-11.072472,-0.691546,-10.683434,0,0,0
