drug_a,drug_b,stratum,rr_a,rr_b,n_ab,n_abz,additive_expected,omega_add,omega_add_lower,expected,omega,omega_lower
ABATACEPT,ACETAMINOPHEN,easy,0.04592180894648138,1.4285751489190677,1356,0,4.002344060816551,-3.1706763090948886,-13.16256412490175,0.18411964426026367,-0.4523205622214069,-10.44420837802827
ABATACEPT,ALEMTUZUMAB,easy,0.04592180894648138,0.22412750273961615,73,0,0.03380412132438064,-0.09438234920490533,-10.086270165011769,0.0015474689611521466,-0.004458156286983074,-9.996345972093845
ABATACEPT,ALENDRONATE,easy,0.04592180894648138,0.8209380476241969,1729,0,2.9326282706841935,-2.7793136321050347,-12.771201447911897,0.13991535364263033,-0.35595298685584376,-10.347840802662706
ABATACEPT,AMOXICILLIN,easy,0.04592180894648138,1.9133965909826278,283,0,1.1187758184160264,-1.694903203025429,-11.686791018832292,0.051435878348353975,-0.14126504230353482,-10.133152858110398
ABATACEPT,APIXABAN,easy,0.04592180894648138,0.2986789254030971,62,0,0.03826025930340192,-0.10637581770316851,-10.098263633510031,0.0017361339941134044,-0.0050007468562878205,-9.99688856266315
ABATACEPT,APREMILAST,easy,0.04592180894648138,0.014498171780168528,443,0,0.042031448114061946,-0.11644846282096384,-10.108336278627826,0.0006051132127072404,-0.0017449319937409005,-9.993632747800604
ABATACEPT,ASPIRIN,easy,0.04592180894648138,1.408142556196669,164,0,0.47713591848907766,-0.9666311584952973,-10.95851897430216,0.02188933192737279,-0.061815816876056,-10.053703632682918
ABATACEPT,AZATHIOPRINE,easy,0.04592180894648138,1.2604937563874805,1531,1,3.987195485866204,-1.5808515360558315,-5.378078804417179,0.1890677507308008,1.1222447566005844,-2.674982511760762
ABATACEPT,BUDESONIDE,easy,0.04592180894648138,0.2696949380368202,98,0,0.05460727566325893,-0.14953844773318198,-10.141426263540044,0.0024865811066019095,-0.007156974778426658,-9.99904479058529
ABATACEPT,BUPROPION,easy,0.04592180894648138,1.718732919294401,209,0,0.7421749992982062,-1.312868436710282,-11.304756252517144,0.034081526712638165,-0.09513188898511121,-10.087019704791974
ABATACEPT,CELECOXIB,easy,0.04592180894648138,0.7239347364724384,1693,0,2.5322583587180563,-2.6003926812668565,-12.59228049707372,0.11947217128902628,-0.30911137836616615,-10.300999194173029
ABATACEPT,CETIRIZINE,easy,0.04592180894648138,0.3310322144010715,1450,0,0.9917218933515719,-1.5769785942520818,-11.568866410058945,0.04708564993748944,-0.1298386194229038,-10.121726435229766
ABATACEPT,CYCLOPHOSPHAMIDE,easy,0.04592180894648138,0.35001601499150453,206,0,0.14897272974509854,-0.3762297616296547,-10.368117577436518,0.006775410519421607,-0.01941842962623222,-10.011306245433095
ABATACEPT,DENOSUMAB,easy,0.04592180894648138,0.2020474911441691,138,0,0.05760818438381938,-0.15732364186290276,-10.149211457669766,0.0026136207611523903,-0.007521673701482391,-9.999409489508345
ABATACEPT,DEXAMETHASONE,easy,0.04592180894648138,0.728171155424958,74,0,0.11133118473992588,-0.29002606770390316,-10.281913883510766,0.00507509009627859,-0.01456979605863846,-10.006457611865502
ABATACEPT,DICLOFENAC,easy,0.04592180894648138,1.9215328668395604,977,0,3.8787699326621476,-3.1305256503553154,-13.122413466162177,0.1786459757793622,-0.44073107577759213,-10.432618891584454
ABATACEPT,DOXYCYCLINE,easy,0.04592180894648138,0.9359861069880734,137,0,0.26493638676844783,-0.6134116812713385,-10.605299497078201,0.012179653885149723,-0.03472184875084908,-10.026609664557713
ABATACEPT,DULOXETINE,easy,0.04592180894648138,1.8706513756507765,271,0,1.0474029384435137,-1.6298489185717908,-11.621736734378654,0.048141902297881,-0.13262132975847798,-10.12450914556534
ABATACEPT,ESOMEPRAZOLE,easy,0.04592180894648138,1.5180242824692898,65,0,0.20386548968626989,-0.49337165797550875,-10.48525947378237,0.00934902139518057,-0.026726478661286596,-10.018614294468149
ABATACEPT,FENTANYL,easy,0.04592180894648138,1.6693452528015025,320,0,1.1036917193704956,-1.681396836505625,-11.673284652312487,0.05072182166718575,-0.13939567973054973,-10.131283495537412
ABATACEPT,FLUDARABINE,easy,0.04592180894648138,0.23375028598773356,202,0,0.09755626388486428,-0.2571464639066621,-10.249034279713525,0.004477246844608901,-0.012861106843280134,-10.004748922650142
ABATACEPT,FLUTICASONE,easy,0.04592180894648138,0.1714366163643265,72,0,0.0255027916191391,-0.07177033332367003,-10.063658149130532,0.001155906500702822,-0.003331391857087079,-9.99521920766395
ABATACEPT,GABAPENTIN,easy,0.04592180894648138,1.7025758592835216,164,0,0.5769018859927951,-1.1068868153050353,-11.098774631111898,0.02648856531864029,-0.07447410314950807,-10.066361918956371
ABATACEPT,HUMAN IMMUNOGLOBULIN G,easy,0.04592180894648138,0.17875692819872901,215,0,0.07940593837785812,-0.21264637609372478,-10.204534191900587,0.0036212890829186413,-0.010411175074211016,-10.002298990881073
ABATACEPT,HYDROCORTISONE,easy,0.04592180894648138,1.7761224365147361,107,0,0.3926524553663464,-0.8361704919772517,-10.828058307784115,0.018040287343995598,-0.05113620397288991,-10.043024019779752
ABATACEPT,HYDROMORPHONE,easy,0.04592180894648138,0.3928692346945553,148,0,0.12013273808102752,-0.3106489594421989,-10.302536775249061,0.005479594363570013,-0.015724758458163266,-10.007612574265027
ABATACEPT,IBUPROFEN,easy,0.04592180894648138,1.6185686344391448,256,0,0.8560965066107681,-1.4394598515233075,-11.43134766733017,0.03931851441798962,-0.109209466497796,-10.101097282304659
ABATACEPT,LEVOTHYROXINE,easy,0.04592180894648138,1.2204762866432508,104,0,0.26224929200450015,-0.6083348103383847,-10.600222626145248,0.012005394891831597,-0.03423091678847264,-10.026118732595336
ABATACEPT,MELPHALAN,easy,0.04592180894648138,0.5372094627012359,70,0,0.07769504694075752,-0.20838003042138503,-10.200267846228249,0.003555373735419626,-0.010222338798308861,-10.002110154605171
ABATACEPT,MESALAMINE,easy,0.04592180894648138,0.4076726362198592,59,0,0.049695288113759103,-0.13670401802651896,-10.128591833833381,0.0022726505753040594,-0.0065426255661372576,-9.998430441373
ABATACEPT,METHYLPREDNISOLONE,easy,0.04592180894648138,1.3812350131790718,396,0,1.1300935707817688,-1.7049547805473246,-11.696842596354188,0.051924550455044835,-0.14254296536953626,-10.134430781176398
ABATACEPT,MORPHINE,easy,0.04592180894648138,1.295541055518372,342,0,0.9154379781847382,-1.5012485344604263,-11.493136350267289,0.041980874452500434,-0.11631384743095706,-10.10820166323782
ABATACEPT,MOXIFLOXACIN,easy,0.04592180894648138,1.5908702747676042,108,0,0.3549851306933792,-0.7739712349808102,-10.765859050787673,0.016300475387190067,-0.04628283158383712,-10.0381706473907
ABATACEPT,MYCOPHENOLATE MOFETIL,easy,0.04592180894648138,0.6448112769876787,822,1,1.095105805079057,-0.08868962195250514,-3.885916890313852,0.05042959792532688,1.4463325462952388,-2.350894722066108
ABATACEPT,MYCOPHENOLIC ACID,easy,0.04592180894648138,0.39763665968304396,90,0,0.07394019060138021,-0.19897230888026887,-10.190860124687132,0.0033885840377472234,-0.009744404212086085,-10.00163222001895
ABATACEPT,NAPROXEN,easy,0.04592180894648138,0.7405191893607729,987,0,1.5100979192166464,-2.007265782064591,-11.999153597871453,0.06972205024582212,-0.1883301497706973,-10.18021796557756
ABATACEPT,OXYCODONE,easy,0.04592180894648138,0.8199066331269075,1050,0,1.7787107851987294,-2.1882178288431806,-12.180105644650043,0.08146325853468107,-0.21775993876389427,-10.209647754570756
ABATACEPT,PANTOPRAZOLE,easy,0.04592180894648138,1.7739738803748961,170,0,0.6230856967102818,-1.1674680163421547,-11.159355832149018,0.028612834562721283,-0.08028335872473903,-10.072171174531602
ABATACEPT,PREDNISOLONE,easy,0.04592180894648138,1.116853738649243,669,1,1.5437396523178806,-0.446248925381933,-4.24347619374328,0.07098145346975605,1.3934467106539594,-2.4037805577073876
ABATACEPT,PSEUDOEPHEDRINE,easy,0.04592180894648138,0.25427020865048655,345,0,0.18124507486209615,-0.4462457998011759,-10.438133615608038,0.008397974294585617,-0.02403018706648937,-10.015918002873352
ABATACEPT,ROFECOXIB,easy,0.04592180894648138,0.5970779676867103,108,0,0.13323135377858922,-0.3408045958704386,-10.332692411677302,0.006092789675070684,-0.017473825469706338,-10.00936164127657
ABATACEPT,RUXOLITINIB,easy,0.04592180894648138,0.10814722032577244,77,0,0.017205120790725795,-0.04880846429563247,-10.040696280102495,0.0007829627186982527,-0.002257385874873501,-9.994145201681736
ABATACEPT,SARILUMAB,easy,0.04592180894648138,0.02306974938828413,326,0,0.030930591614411276,-0.08659517541002,-10.078482991216882,0.0007202112904136979,-0.00207659528556174,-9.993964411092424
ABATACEPT,SECUKINUMAB,easy,0.04592180894648138,0.04260044718082461,439,0,0.041651931652535425,-0.1154379711043113,-10.107325786911174,0.0017603694817635606,-0.005070432037515939,-9.996958247844379
ABATACEPT,TACROLIMUS,easy,0.04592180894648138,0.8910941228536008,409,0,0.7530061561475174,-1.3253935027856127,-11.317281318592475,0.03448418918605526,-0.09621917668750317,-10.088106992494366
ABATACEPT,TRIAMCINOLONE ACETONIDE,easy,0.04592180894648138,0.16601040719128832,453,0,0.15537643628880124,-0.3903957075929068,-10.382283523399769,0.007282587285126053,-0.020861545241573284,-10.012749361048437
ABATACEPT,UPADACITINIB,easy,0.04592180894648138,0.4036672517642972,306,0,0.25520935142108764,-0.5949485341732232,-10.586836349980086,0.011678285379075748,-0.033308914617220756,-10.025196730424083
ABATACEPT,USTEKINUMAB,easy,0.04592180894648138,0.1071527522215495,428,0,0.09475425881475613,-0.25036560240437666,-10.24225341821124,0.004338389847128966,-0.012463951415398203,-10.00435176722226
ABATACEPT,WARFARIN,easy,0.04592180894648138,1.473620781014437,95,0,0.28924175103794886,-0.6585391820334315,-10.650426997840295,0.013255861344016028,-0.03775010301136733,-10.02963791881823
ABATACEPT,ZOLEDRONIC ACID,easy,0.04592180894648138,1.139856367210584,56,0,0.13188329708242705,-0.3377300358767887,-10.329617851683652,0.006032014621457298,-0.01730056646411561,-10.009188382270978
ABEMACICLIB,ANASTROZOLE,easy,0.6924592114501605,0.6194370612345156,272,1,0.3891479440440865,0.7544671086334331,-3.042760159727914,0.24319110825107762,1.0131573545967987,-2.784069913764548
ABEMACICLIB,CAPECITABINE,easy,0.6924592114501605,0.42845298454351877,106,0,0.1516532428995337,-0.3821763882410246,-10.374064204047887,0.06501270764972145,-0.17635522052907732,-10.16824303633594
ABEMACICLIB,CYCLOPHOSPHAMIDE,easy,0.6924592114501605,0.35001601499150453,55,0,0.07868800339126748,-0.21085764144938737,-10.20274545725625,0.027434358735151328,-0.0770634610747483,-10.068951276881611
ABEMACICLIB,DENOSUMAB,easy,0.6924592114501605,0.2020474911441691,168,0,0.2403560830860534,-0.566291224155402,-10.558179039962265,0.04855944379470268,-0.133719869626386,-10.125607685433248
ABEMACICLIB,EVEROLIMUS,easy,0.6924592114501605,0.6954213746512465,58,0,0.08333504382273856,-0.22239665169810124,-10.214284467504964,0.05771135574714056,-0.1575905515857115,-10.149478367392573
ABEMACICLIB,FULVESTRANT,easy,0.6924592114501605,0.9576240238631492,709,1,1.4027907945433717,-0.3431544501360619,-4.140381718497409,0.9833507047160672,0.016102769996326885,-3.78112449836502
ABEMACICLIB,LETROZOLE,easy,0.6924592114501605,0.4456111560065148,958,1,1.3706019499788045,-0.31854009586561954,-4.115767364226967,0.6324141778567888,0.40556078367002046,-3.3916664846913265
ABEMACICLIB,LEUPROLIDE,easy,0.6924592114501605,0.2918692093637144,78,1,0.1115938957185248,1.2943165882893979,-2.502910680071949,0.03255304643247721,1.4939653594466402,-2.3032619089147066
ABEMACICLIB,LOPERAMIDE,easy,0.6924592114501605,0.7995864706589672,243,0,0.40144250141026677,-0.8503073772740926,-10.842195193080956,0.27935061564675046,-0.6403444216609162,-10.632232237467779
ABEMACICLIB,PACLITAXEL,easy,0.6924592114501605,0.7051079471466357,109,0,0.15879387504847348,-0.39789904718621,-10.389786862993073,0.10997965670340719,-0.28683303358732004,-10.278720849394183
ABEMACICLIB,PALBOCICLIB,easy,0.6924592114501605,0.5116652444439523,164,0,0.23463331920305214,-0.555096235920707,-10.54698405172757,0.12029727709555794,-0.31103169707154316,-10.302919512878406
ABEMACICLIB,PREDNISONE,easy,0.6924592114501605,0.6894393002005503,65,0,0.09299491309877066,-0.2460916340345836,-10.237979449841447,0.06399025151261958,-0.17374213118360893,-10.165629946990471
ABEMACICLIB,RIBOCICLIB,easy,0.6924592114501605,0.866429625671822,100,0,0.17901314932951437,-0.441511418152299,-10.433399233959161,0.12410003892568607,-0.319849206786959,-10.311737022593821
ABEMACICLIB,TRASTUZUMAB,easy,0.6924592114501605,0.23984704512770336,71,0,0.10157905892327257,-0.2668262525248388,-10.258714068331702,0.02436787699393313,-0.06865121324850688,-10.06053902905537
ABEMACICLIB,ZOLEDRONIC ACID,easy,0.6924592114501605,1.139856367210584,81,0,0.19075976899422484,-0.46625596545096654,-10.45814378125783,0.1320980520430517,-0.338220273996038,-10.3301080898029
ACETAMINOPHEN,ADALIMUMAB,easy,1.4285751489190677,0.15142319818201383,1651,1,4.873060504725756,-1.8407815832528378,-5.638008851614185,0.7250818207442798,0.29208439358308946,-3.505142874778257
ACETAMINOPHEN,ALBUTEROL,easy,1.4285751489190677,0.32150878391550564,1695,2,5.0029300760206885,-1.138271902030119,-3.726912280437396,1.610945181773269,0.24403898044233183,-2.344601397964945
ACETAMINOPHEN,ALEMTUZUMAB,easy,1.4285751489190677,0.22412750273961615,237,1,0.6995247362931581,0.3224995918938908,-3.474727676467456,0.15718213742169196,1.1905973280462834,-2.6066299403150635
ACETAMINOPHEN,ALENDRONATE,easy,1.4285751489190677,0.8209380476241969,613,9,1.8093192546316708,2.0404598794241444,0.9473936409544695,1.4874719127560145,2.256993041280019,1.1639268028103444
ACETAMINOPHEN,AMBRISENTAN,easy,1.4285751489190677,0.027623133767689594,110,0,0.3246739282373308,-0.7218957031329757,-10.713783518939838,0.00900087420430832,-0.025740039231166623,-10.017627855038029
ACETAMINOPHEN,AMPHETAMINE ASPARTATE,easy,1.4285751489190677,1.274935633023164,350,2,1.2318691251413778,0.5295981830926301,-2.0590421953146465,1.3175154915130665,0.45996043394258673,-2.12867994446469
ACETAMINOPHEN,ANASTROZOLE,easy,1.4285751489190677,0.6194370612345156,61,0,0.1800464511134289,-0.4437051992729474,-10.43559301507981,0.1122775001120125,-0.29225757322281676,-10.28414538902968
ACETAMINOPHEN,APIXABAN,easy,1.4285751489190677,0.2986789254030971,1136,2,3.352996204341889,-0.624052669885125,-3.212693048292402,1.003498227366127,0.7336049279209772,-1.8550354504862998
ACETAMINOPHEN,APREMILAST,easy,1.4285751489190677,0.014498171780168528,61,0,0.1800464511134289,-0.4437051992729474,-10.43559301507981,0.0026162355956685737,-0.007529179266036457,-9.999416995072899
ACETAMINOPHEN,ATOMOXETINE,easy,1.4285751489190677,0.45902283623628937,96,0,0.28335179191621596,-0.647732251548566,-10.639620067355429,0.13085047907851552,-0.3353700107110852,-10.327257826517949
ACETAMINOPHEN,AZATHIOPRINE,easy,1.4285751489190677,1.2604937563874805,619,10,2.1601785799770976,1.9807943244960946,0.9506518785838137,2.304085275846447,1.9047871985478944,0.8746447526356136
ACETAMINOPHEN,BELIMUMAB,easy,1.4285751489190677,0.11208970406813365,141,0,0.4161729443769422,-0.8736918641816642,-10.865579679988526,0.04691950052201115,-0.12940040770242073,-10.121288223509284
ACETAMINOPHEN,BENDAMUSTINE,easy,1.4285751489190677,0.30841334462587155,105,0,0.3099160224083612,-0.6958442324483897,-10.687732048255253,0.09616579587004542,-0.2537855103239456,-10.245673326130808
ACETAMINOPHEN,BEVACIZUMAB,easy,1.4285751489190677,0.4667467970347121,157,0,0.4633982430296449,-0.9462041979655643,-10.938092013772428,0.21740966783928398,-0.520869092350939,-10.512756908157801
ACETAMINOPHEN,BORTEZOMIB,easy,1.4285751489190677,0.40648437984514474,152,0,0.4486403372006753,-0.92393311976887,-10.915820935575733,0.18344782189745684,-0.4509031040072665,-10.44279091981413
ACETAMINOPHEN,BOSENTAN,easy,1.4285751489190677,0.24763537588447232,83,0,0.24498123676089506,-0.575275995153349,-10.567163810960212,0.06105672937790217,-0.16621855661405374,-10.158106372420917
ACETAMINOPHEN,BUDESONIDE,easy,1.4285751489190677,0.2696949380368202,933,15,2.753825227685724,2.252059548596667,1.4303363233147233,0.7446930668941211,3.638406283324338,2.8166830580423943
ACETAMINOPHEN,CALCIUM CHLORIDE,easy,1.4285751489190677,0.08332255139113001,153,0,0.4515919183664692,-0.9284149244774852,-10.920302740284347,0.037715527624725124,-0.10491503806828807,-10.09680285387515
ACETAMINOPHEN,CANNABIDIOL,easy,1.4285751489190677,0.09674262285952451,86,0,0.2538359802582768,-0.592322560955157,-10.58421037676202,0.024711269885498967,-0.0695956820064754,-10.061483497813338
ACETAMINOPHEN,CAPECITABINE,easy,1.4285751489190677,0.42845298454351877,128,0,0.3778023892216213,-0.8119681020742557,-10.803855917881119,0.16279046609317155,-0.4066247553801692,-10.398512571187032
