drug_a,drug_b
DARUNAVIR,EVEROLIMUS
DARUNAVIR,FENTANYL
DARUNAVIR,IRINOTECAN
DARUNAVIR,LOVASTATIN
DARUNAVIR,OXYCODONE
DARUNAVIR,PRAVASTATIN
DARUNAVIR,RALTEGRAVIR
DARUNAVIR,RITONAVIR
DARUNAVIR,ROSUVASTATIN
DARUNAVIR,SALMETEROL
DARUNAVIR,SIMVASTATIN
ATORVASTATIN,DARUNAVIR ETHANOLATE
COBICISTAT,DARUNAVIR ETHANOLATE
DARUNAVIR ETHANOLATE,FENTANYL
DARUNAVIR ETHANOLATE,FLUVASTATIN
DARUNAVIR ETHANOLATE,IRINOTECAN
DARUNAVIR ETHANOLATE,LOVASTATIN
DARUNAVIR ETHANOLATE,OXYCODONE
DARUNAVIR ETHANOLATE,PITAVASTATIN
DARUNAVIR ETHANOLATE,PRAVASTATIN
DARUNAVIR ETHANOLATE,ROSUVASTATIN
DARUNAVIR ETHANOLATE,SALMETEROL
DARUNAVIR ETHANOLATE,SIMVASTATIN
ALCOHOL,DEFLAZACORT
CARBAMAZEPINE,DEFLAZACORT
DEFLAZACORT,EFAVIRENZ
DEFLAZACORT,PANCURONIUM
DEFLAZACORT,PHENYTOIN
DEFLAZACORT,RIFAMPIN
CALCIUM,DENOSUMAB
ATRACURIUM,DESFLURANE
DANTROLENE,DESFLURANE
DESFLURANE,EPINEPHRINE
DESFLURANE,FENTANYL
DESFLURANE,ISOFLURANE
DESFLURANE,MIDAZOLAM
DESFLURANE,OXYGEN
DESFLURANE,PANCURONIUM
DESFLURANE,POTASSIUM
DESFLURANE,SUCCINYLCHOLINE
DESFLURANE,VECURONIUM
CALCIUM,DIGOXIN
DIGOXIN,DOPAMINE
DIGOXIN,EPINEPHRINE
DIGOXIN,IVABRADINE
DIGOXIN,NOREPINEPHRINE
DIGOXIN,OXYGEN
DIGOXIN,POTASSIUM
DIGOXIN,SPIRONOLACTONE
DIGOXIN,SUCCINYLCHOLINE
DIGOXIN,TERIPARATIDE
ALCOHOL,DIHYDROCODEINE
DILTIAZEM,IVABRADINE
